date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:59	45114/45114	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2001:02:02%20GMT	https://billionday-sale.xyz/fkk/upload/categories/7744230918201243.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/categories/7744230918201243.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:00	833/833	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2001:17:50%20GMT	https://billionday-sale.xyz/fkk/assets/website/images/theme/clock.svg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/images/theme/clock.svg	(from https://billionday-sale.xyz/fkk/)
17:34:01	974590/974590	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Oct%202023%2006:07:48%20GMT	https://billionday-sale.xyz/fkk/upload/categories/9874230918201243.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/categories/9874230918201243.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:01	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:26%20GMT	https://billionday-sale.xyz/fkk/single-products/2	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/2	(from https://billionday-sale.xyz/fkk/)
17:34:01	23351/23351	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2012:45:06%20GMT	https://billionday-sale.xyz/fkk/single-products/2/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/2/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:02	67726/67726	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202023%2012:32:10%20GMT	https://billionday-sale.xyz/fkk/upload/product/775430918194012.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/775430918194012.jpg	(from https://billionday-sale.xyz/fkk/)
17:34:02	3926/3926	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2001:15:06%20GMT	https://billionday-sale.xyz/fkk/assets/website/img/fa_62673a.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/img/fa_62673a.png	(from https://billionday-sale.xyz/fkk/)
17:34:03	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:28%20GMT	https://billionday-sale.xyz/fkk/single-products/1	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/1	(from https://billionday-sale.xyz/fkk/)
17:34:03	23710/23710	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:51:56%20GMT	https://billionday-sale.xyz/fkk/single-products/1/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-products/1/index.html	(from https://billionday-sale.xyz/fkk/)
17:34:04	60781/60781	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202023%2013:11:50%20GMT	https://billionday-sale.xyz/fkk/upload/product/77543098194012.jpg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/product/77543098194012.jpg	(from https://billionday-sale.xyz/fkk/)
